main.py
Gx=3.20 °/s 	Gy=12.36 °/s 	Gz=-1.05 °/s 	Ax=0.91 g 	Ay=0.19 g 	Az=-0.61 g
Gx=2.21 °/s 	Gy=6.32 °/s 	Gz=2.37 °/s 	Ax=0.84 g 	Ay=0.28 g 	Az=-0.84 g
Gx=-0.83 °/s 	Gy=1.91 °/s 	Gz=1.76 °/s 	Ax=0.77 g 	Ay=0.35 g 	Az=0.36 g
Gx=0.17 °/s 	Gy=0.07 °/s 	Gz=1.85 °/s 	Ax=1.14 g 	Ay=0.25 g 	Az=-0.11 g
Gx=2.34 °/s 	Gy=2.76 °/s 	Gz=-0.08 °/s 	Ax=1.03 g 	Ay=0.00 g 	Az=0.04 g
Gx=2.73 °/s 	Gy=-1.58 °/s 	Gz=1.30 °/s 	Ax=1.01 g 	Ay=0.17 g 	Az=0.03 g
Gx=2.02 °/s 	Gy=1.89 °/s 	Gz=-0.60 °/s 	Ax=1.06 g 	Ay=-0.08 g 	Az=-0.07 g
Gx=2.50 °/s 	Gy=-1.33 °/s 	Gz=0.60 °/s 	Ax=0.99 g 	Ay=0.03 g 	Az=0.04 g
Gx=1.87 °/s 	Gy=-0.06 °/s 	Gz=0.05 °/s 	Ax=1.04 g 	Ay=-0.03 g 	Az=0.01 g
Gx=2.56 °/s 	Gy=0.19 °/s 	Gz=-0.58 °/s 	Ax=1.05 g 	Ay=-0.00 g 	Az=0.02 g
Gx=1.95 °/s 	Gy=-0.16 °/s 	Gz=-0.69 °/s 	Ax=1.01 g 	Ay=0.05 g 	Az=-0.00 g
Gx=2.13 °/s 	Gy=-0.02 °/s 	Gz=-0.92 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.01 g
Gx=1.78 °/s 	Gy=-0.02 °/s 	Gz=-0.19 °/s 	Ax=1.00 g 	Ay=0.21 g 	Az=-0.05 g
Gx=1.80 °/s 	Gy=0.06 °/s 	Gz=-0.55 °/s 	Ax=1.01 g 	Ay=0.07 g 	Az=-0.00 g
Gx=1.89 °/s 	Gy=0.21 °/s 	Gz=-0.50 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=-0.01 g
Gx=2.13 °/s 	Gy=0.12 °/s 	Gz=-0.68 °/s 	Ax=1.01 g 	Ay=0.12 g 	Az=-0.02 g
Gx=2.06 °/s 	Gy=0.11 °/s 	Gz=-0.39 °/s 	Ax=0.99 g 	Ay=0.18 g 	Az=-0.03 g
Gx=2.08 °/s 	Gy=0.12 °/s 	Gz=-0.03 °/s 	Ax=0.99 g 	Ay=0.18 g 	Az=-0.01 g
Gx=2.00 °/s 	Gy=0.18 °/s 	Gz=0.18 °/s 	Ax=0.99 g 	Ay=0.18 g 	Az=-0.01 g
